ZCTA5CE20,P1_001N
92122,45646.0
92123,35167.0
92124,26960.0
92126,66766.0
92127,45832.0
92128,53915.0
92129,49898.0
92130,63316.0
92131,34818.0
92132,0.0
92134,390.0
92135,0.0
92136,7014.0
92139,33513.0
92140,2183.0
92145,8035.0
92147,0.0
92154,81278.0
92155,0.0
92161,0.0
92173,27442.0
92179,0.0
92182,0.0
92201,68013.0
92203,26832.0
92210,7053.0
92211,21345.0
92220,30534.0
92222,0.0
92223,54160.0
92225,19805.0
92227,29622.0
92230,0.0
92231,34285.0
92233,3499.0
92234,47027.0
92236,44234.0
92239,1725.0
92240,43547.0
92241,11972.0
92242,1213.0
92243,60876.0
92249,3549.0
92250,13100.0
92251,15798.0
92252,7925.0
92253,33315.0
92254,8400.0
92256,3257.0
92257,0.0
92258,0.0
92259,0.0
92260,33573.0
92262,32566.0
92264,14738.0
92266,756.0
92267,0.0
92268,0.0
92270,17360.0
92273,0.0
92274,12358.0
92275,0.0
92276,8482.0
92277,18965.0
92278,0.0
92280,0.0
92281,0.0
92282,1304.0
92283,2698.0
92284,26813.0
92285,2801.0
92301,39924.0
92304,0.0
92305,2109.0
92307,42324.0
92308,42958.0
92309,0.0
92310,0.0
92311,35235.0
92313,15340.0
92314,10112.0
92315,4986.0
92316,37496.0
92317,0.0
92320,18391.0
92321,0.0
92322,3149.0
92324,65704.0
92325,6849.0
92327,0.0
92328,3335.0
92332,0.0
92333,0.0
92335,97619.0
92336,92453.0
92337,31534.0
92338,0.0
92339,0.0
92341,2315.0
92342,6320.0
92344,21427.0
92345,84793.0
92346,50401.0
92347,1575.0
92350,0.0
92352,7998.0
92354,24673.0
92356,3390.0
92358,1856.0
92359,3641.0
92363,0.0
92364,0.0
92365,0.0
92368,0.0
92369,1481.0
92371,18266.0
92372,7258.0
92373,32998.0
92374,53775.0
92376,85100.0
92377,14720.0
92378,0.0
92382,3943.0
92384,0.0
92385,0.0
92386,1839.0
92389,0.0
92391,1118.0
92392,57464.0
92394,44178.0
92395,47333.0
92397,4761.0
92398,0.0
92399,55032.0
92401,2150.0
92404,71079.0
92405,39721.0
92407,68965.0
92408,9898.0
92410,51584.0
92411,26564.0
92415,0.0
92501,18728.0
92503,101174.0
92504,52501.0
92505,51179.0
92506,44391.0
92507,59873.0
92508,37435.0
92509,78142.0
92518,4243.0
92521,3455.0
92530,58424.0
92532,30853.0
92536,0.0
92539,0.0
92543,33840.0
92544,49473.0
92545,42165.0
92548,4936.0
92549,2368.0
92551,33035.0
92553,69901.0
92555,41898.0
92557,49561.0
92561,3586.0
92562,59278.0
92563,62742.0
92567,19818.0
92570,45565.0
92571,63110.0
92582,13960.0
92583,43154.0
92584,38281.0
92585,26867.0
92586,20629.0
92587,20320.0
92590,15152.0
92591,47902.0
92592,78374.0
92595,35391.0
92596,53967.0
92602,45336.0
92603,17848.0
92604,26931.0
92606,22460.0
92610,5069.0
92612,22840.0
92614,30413.0
92617,25232.0
92618,46970.0
92620,68517.0
92624,5617.0
92625,10031.0
92626,47578.0
92627,62267.0
92629,18731.0
92630,64529.0
92637,26473.0
92646,58123.0
92647,63823.0
92648,48459.0
92649,28775.0
92651,26546.0
92653,23942.0
92655,14510.0
92656,49781.0
92657,7333.0
92660,54084.0
92661,3806.0
92662,2490.0
92663,21674.0
92672,35388.0
92673,31140.0
92675,36733.0
92676,1613.0
92677,65091.0
92678,972.0
92679,27400.0
92683,85433.0
92688,43173.0
92691,43648.0
92692,54437.0
92694,36452.0
92697,0.0
92701,44380.0
92703,70692.0
92704,83700.0
92705,43248.0
92706,29461.0
92707,58873.0
92708,55523.0
92780,68115.0
92782,27088.0
92801,73075.0
92802,41917.0
92804,85007.0
92805,53033.0
92806,48721.0
92807,38579.0
92808,9291.0
92821,44394.0
92823,0.0
92831,48058.0
92832,21727.0
92833,56091.0
92835,30085.0
92840,51590.0
92841,30508.0
92843,52229.0
92844,26224.0
92845,20204.0
92860,28109.0
92861,6154.0
92865,18494.0
92866,21720.0
92867,44606.0
92868,22742.0
92869,27447.0
92870,56346.0
92879,44070.0
92880,87229.0
92881,35302.0
92882,72435.0
92883,33555.0
92886,51783.0
92887,18914.0
93001,41949.0
93003,43072.0
93004,27188.0
93010,41221.0
93012,40247.0
93013,17908.0
93015,18113.0
93021,35178.0
93022,8365.0
93023,17285.0
93030,66975.0
93033,72250.0
93035,26492.0
93036,46803.0
93040,3410.0
93041,21954.0
93042,1430.0
93043,0.0
93060,39182.0
93063,51603.0
93064,6264.0
93065,67576.0
93066,8798.0
93067,0.0
93101,33962.0
93103,22395.0
93105,22901.0
93106,4909.0
93108,5980.0
93109,13967.0
93110,20094.0
93111,15153.0
93117,52029.0
93201,0.0
93202,5572.0
93203,20822.0
93204,13735.0
93205,0.0
93206,4831.0
93207,0.0
93208,0.0
93210,18513.0
93212,22939.0
93215,50878.0
93218,6439.0
93219,10151.0
93220,0.0
93221,16734.0
93222,0.0
93223,5059.0
93224,0.0
93225,5466.0
93226,0.0
93227,0.0
93230,68059.0
93234,2474.0
93235,4540.0
93237,0.0
93238,0.0
93239,0.0
93240,3577.0
93241,15914.0
93242,3213.0
93243,0.0
93244,0.0
93245,31242.0
93246,6656.0
93247,17729.0
93249,0.0
93250,20270.0
93251,0.0
93252,0.0
93254,0.0
93255,2327.0
93256,6673.0
93257,80207.0
93258,0.0
93260,0.0
93261,0.0
93262,0.0
93263,22998.0
93265,7387.0
93266,0.0
93267,7643.0
93268,15619.0
93270,0.0
93271,2542.0
93272,3656.0
93274,77101.0
93276,0.0
93277,49624.0
93280,27175.0
93283,4041.0
93285,0.0
93286,8158.0
93287,0.0
93291,63621.0
93292,49399.0
93301,14517.0
93304,47581.0
93305,38531.0
93306,72358.0
93307,93336.0
93308,56821.0
93309,62289.0
93311,48166.0
93312,50861.0
93313,61460.0
93314,39806.0
93401,23109.0
93402,14088.0
93405,26972.0
93407,0.0
93408,0.0
93409,3806.0
93410,7459.0
93420,36306.0
93422,30833.0
93424,0.0
93426,0.0
93427,5269.0
93428,8329.0
93429,0.0
93430,2505.0
93432,5566.0
93433,12643.0
93434,6078.0
93436,57132.0
93437,0.0
93440,2813.0
93441,0.0
93442,10981.0
93444,21948.0
93445,6970.0
93446,48820.0
93449,8081.0
93450,3113.0
93451,0.0
93452,0.0
93453,1074.0
93454,42110.0
93455,55357.0
93458,50379.0
93460,8475.0
93461,3949.0
93463,6633.0
93465,8985.0
93501,4163.0
93505,12811.0
93510,8480.0
93512,0.0
93513,0.0
93514,16529.0
93516,2086.0
93517,2542.0
93518,0.0
93519,0.0
93522,0.0
93523,0.0
93524,2332.0
93526,0.0
93527,2216.0
93528,0.0
93529,0.0
93530,0.0
93531,0.0
93532,1516.0
93534,42020.0
93535,91543.0
93536,76440.0
93541,0.0
93543,0.0
93544,3958.0
93545,0.0
93546,7199.0
93549,0.0
93550,78157.0
93551,57414.0
93552,42787.0
93553,7697.0
93554,0.0
93555,30484.0
93558,0.0
93560,21959.0
93561,27594.0
93562,0.0
93563,0.0
93581,3660.0
93591,6556.0
93601,0.0
93602,0.0
93603,0.0
93604,0.0
93605,0.0
93606,0.0
93608,0.0
93609,5393.0
93610,23377.0
93611,36619.0
93612,34805.0
93614,11822.0
93615,5670.0
93616,2789.0
93618,31884.0
93619,62353.0
93620,10171.0
93621,0.0
93622,13998.0
93623,0.0
93624,4902.0
93625,11432.0
93626,0.0
93627,0.0
93628,0.0
93630,21816.0
93631,16567.0
93633,0.0
93634,1160.0
93635,52221.0
93636,10735.0
93637,43294.0
93638,51688.0
93640,9880.0
93641,0.0
93643,4081.0
93644,8985.0
93645,0.0
93646,6870.0
93647,8942.0
93648,8669.0
93650,3554.0
93651,0.0
93652,0.0
93653,2273.0
93654,39803.0
93656,5691.0
93657,43058.0
93660,0.0
93662,35113.0
93664,0.0
93665,0.0
93666,0.0
93667,2119.0
93668,0.0
93669,0.0
93670,0.0
93673,0.0
93675,2441.0
93701,8030.0
93702,37391.0
93703,40289.0
93704,26582.0
93705,33042.0
93706,40071.0
93710,34772.0
93711,33909.0
93720,45999.0
93721,13416.0
93722,92049.0
93723,13345.0
93725,18194.0
93726,43222.0
93727,91341.0
93728,19297.0
93730,12657.0
93737,3215.0
93740,1908.0
93741,0.0
93901,27383.0
93905,59207.0
93906,60063.0
93907,28790.0
93908,26801.0
93920,0.0
93921,7013.0
93923,9079.0
93924,6189.0
93925,6284.0
